LATITUDE,LONGITUDE,OFFENSE,Count
38.82046149,-77.01037533,HOMICIDE,1
38.86303558,-76.99173857,THEFT F/AUTO,1
38.90137367,-76.97899523,THEFT F/AUTO,10
38.84542205,-76.97661566,THEFT/OTHER,1
38.92964851,-77.03135819,THEFT F/AUTO,8
38.91699197,-77.03078761,THEFT/OTHER,35
38.91043673,-77.01694892,THEFT F/AUTO,1
38.89831005,-77.02495795,THEFT F/AUTO,9
38.87786237,-77.01764419,THEFT F/AUTO,6
38.89734557,-77.02756288,THEFT/OTHER,84
38.89912142,-77.02192635,THEFT/OTHER,45
38.90019318,-76.97686285,THEFT F/AUTO,1
38.90563519,-77.01755882,THEFT/OTHER,2
38.92693708,-77.03369441,THEFT F/AUTO,1
38.90036397,-77.02493561,THEFT/OTHER,23
38.92053572,-76.95266314,THEFT/OTHER,25
38.93160708,-76.98976996,THEFT F/AUTO,4
38.91699302,-77.02652116,THEFT/OTHER,36
38.95780921,-77.02823237,ROBBERY,1
38.9078348,-77.06443815,THEFT/OTHER,3
38.87699882,-77.00435625,THEFT/OTHER,23
38.8792768,-77.01689542,THEFT/OTHER,3
38.89966883,-77.03114903,THEFT/OTHER,8
38.94285857,-76.99144094,THEFT F/AUTO,3
38.86510626,-76.9809993,THEFT/OTHER,4
38.9039603,-76.98753733,THEFT/OTHER,1
38.90515892,-77.00589133,THEFT/OTHER,14
38.86439365,-76.97587201,MOTOR VEHICLE THEFT,4
38.96713558,-77.01167752,THEFT/OTHER,1
38.93261467,-76.97958576,THEFT F/AUTO,1
38.87647641,-77.00005762,THEFT/OTHER,52
38.91830981,-77.01833453,THEFT F/AUTO,1
38.91260294,-77.07495803,THEFT/OTHER,10
38.93814496,-77.02459126,THEFT/OTHER,26
38.90559259,-77.06283358,THEFT/OTHER,54
38.88506927,-77.01637813,THEFT F/AUTO,1
38.90604174,-77.00589141,THEFT/OTHER,108
38.86425433,-76.96048962,BURGLARY,1
38.91186623,-77.0307854,THEFT F/AUTO,19
38.87786237,-77.01764419,THEFT/OTHER,53
38.90723075,-77.00749408,THEFT/OTHER,4
38.90563643,-77.00447329,THEFT/OTHER,9
38.89362247,-76.91228981,ASSAULT W/DANGEROUS WEAPON,2
38.89955586,-77.00204048,THEFT F/AUTO,2
38.93509057,-77.02720839,THEFT/OTHER,1
38.95515092,-77.03156554,THEFT F/AUTO,2
38.87379142,-77.01064814,THEFT/OTHER,3
38.93165725,-77.03179734,HOMICIDE,1
38.89546382,-77.0229627,THEFT/OTHER,24
38.84568554,-77.00471144,THEFT/OTHER,1
38.87465605,-77.0124345,THEFT/OTHER,4
38.93452992,-76.96478738,MOTOR VEHICLE THEFT,4
38.86900344,-76.96581071,THEFT/OTHER,1
38.91682368,-77.0166737,THEFT/OTHER,1
38.86726018,-76.98784334,THEFT F/AUTO,2
38.92248163,-76.98948297,ROBBERY,1
38.92419116,-77.051906,THEFT/OTHER,18
38.92951301,-77.03273055,THEFT/OTHER,163
38.89665246,-76.94765293,THEFT/OTHER,24
38.88676398,-77.00131397,THEFT/OTHER,5
38.91037983,-77.03090005,THEFT F/AUTO,15
38.95670899,-77.03285842,THEFT/OTHER,6
38.87438776,-76.9575569,THEFT F/AUTO,1
38.91409043,-77.03391111,THEFT F/AUTO,13
38.91496615,-77.02650888,THEFT F/AUTO,11
38.87947324,-77.02379103,THEFT/OTHER,38
38.85417101,-76.98843313,THEFT/OTHER,4
38.86614327,-76.98920321,ROBBERY,2
38.93566984,-76.98996545,THEFT F/AUTO,1
38.88425966,-77.0000461,THEFT F/AUTO,3
38.93683702,-77.03179965,THEFT F/AUTO,2
38.85002587,-76.97932138,THEFT F/AUTO,2
38.91864019,-77.03195297,THEFT/OTHER,30
38.87211177,-76.9673073,THEFT/OTHER,2
38.90803737,-77.03195975,ASSAULT W/DANGEROUS WEAPON,1
38.96580934,-77.06945227,THEFT/OTHER,1
38.90454556,-77.04821398,THEFT F/AUTO,3
38.95243189,-77.0255768,MOTOR VEHICLE THEFT,1
38.8881332,-76.9961848,THEFT F/AUTO,1
38.86798014,-76.9822315,THEFT/OTHER,1
38.88531353,-76.99496322,THEFT F/AUTO,5
38.91556798,-77.03325457,MOTOR VEHICLE THEFT,3
38.92501995,-77.02417157,ROBBERY,2
38.90396705,-76.94720947,THEFT/OTHER,7
38.91984878,-77.02600331,THEFT/OTHER,3
38.84421692,-76.99113023,ROBBERY,1
38.86558477,-76.98944527,THEFT F/AUTO,2
38.85612319,-76.97259129,THEFT/OTHER,2
38.94134721,-77.04128333,THEFT F/AUTO,1
38.90515055,-77.06399762,THEFT/OTHER,86
